Code,Name,Percentage,Year
742,Virginia Tech,0.62328767,2007
746,Virginia,0.48591549,2007
749,Wake Forest,0.49295775,2007
754,Washington St.,0.4962963,2007
756,Washington,0.5890411,2007
768,West Virginia,0.55633803,2007
774,Western Mich.,0.48360656,2007
796,Wisconsin,0.52985075,2007
811,Wyoming,0.51515152,2007
5,Akron,0.42537313,2006
8,Alabama,0.5,2006
9,UAB,0.4469697,2006
28,Arizona St.,0.54074074,2006
29,Arizona,0.6031746,2006
30,Arkansas St.,0.37007874,2006
31,Arkansas,0.59310345,2006
37,Auburn,0.56164384,2006
47,Ball St.,0.4516129,2006
51,Baylor,0.53333333,2006
66,Boise St.,0.52985075,2006
67,Boston College,0.57352941,2006
71,Bowling Green,0.4,2006
77,Brigham Young,0.47482014,2006
86,Buffalo,0.5037037,2006
96,Fresno St.,0.48091603,2006
107,California,0.55555556,2006
110,UCLA,0.56462585,2006
128,UCF,0.48780488,2006
129,Central Mich.,0.47096774,2006
140,Cincinnati,0.62406015,2006
147,Clemson,0.4965035,2006
156,Colorado St.,0.45,2006
157,Colorado,0.48333333,2006
164,Connecticut,0.60833333,2006
193,Duke,0.50406504,2006
196,East Caro.,0.46428571,2006
204,Eastern Mich.,0.46212121,2006
229,Fla. Atlantic,0.41666667,2006
231,Florida Int'l,0.41538462,2006
234,Florida St.,0.56462585,2006
235,Florida,0.67114094,2006
255,Georgia Tech,0.55944056,2006
257,Georgia,0.54545455,2006
277,Hawaii,0.46153846,2006
288,Houston,0.47857143,2006
295,Idaho,0.47540984,2006
301,Illinois,0.55737705,2006
306,Indiana,0.54098361,2006
311,Iowa St.,0.475,2006
312,Iowa,0.54198473,2006
327,Kansas St.,0.5234375,2006
328,Kansas,0.44444444,2006
331,Kent St.,0.32307692,2006
334,Kentucky,0.61481481,2006
365,LSU,0.5862069,2006
366,Louisiana Tech,0.4887218,2006
367,Louisville,0.57746479,2006
388,Marshall,0.44628099,2006
392,Maryland,0.54411765,2006
404,Memphis,0.44262295,2006
414,Miami (Ohio),0.42105263,2006
415,Miami (Fla.),0.52592593,2006
416,Michigan St.,0.48854962,2006
418,Michigan,0.63194444,2006
419,Middle Tenn. St.,0.52238806,2006
428,Minnesota,0.58955224,2006
430,Mississippi St.,0.56451613,2006
433,Mississippi,0.54471545,2006
434,Missouri,0.53383459,2006
457,North Carolina,0.54471545,2006
463,Nebraska,0.57638889,2006
465,UNLV,0.50413223,2006
466,Nevada,0.41304348,2006
472,New Mexico St.,0.45945946,2006
473,New Mexico,0.4765625,2006
490,North Carolina St.,0.53968254,2006
497,North Texas,0.390625,2006
498,La.-Monroe,0.41666667,2006
503,Northern Ill.,0.45925926,2006
509,Northwestern,0.50806452,2006
513,Notre Dame,0.55102041,2006
518,Ohio St.,0.56338028,2006
519,Ohio,0.44520548,2006
521,Oklahoma St.,0.56716418,2006
522,Oklahoma,0.53947368,2006
528,Oregon St.,0.58333333,2006
529,Oregon,0.57664234,2006
539,Penn St.,0.56296296,2006
545,Pittsburgh,0.53781513,2006
559,Purdue,0.5106383,2006
574,Rice,0.47916667,2006
587,Rutgers,0.55384615,2006
626,San Diego St.,0.53333333,2006
630,San Jose St.,0.40769231,2006
648,South Carolina,0.61481481,2006
651,South Fla.,0.49612403,2006
657,Southern California,0.60810811,2006
663,Southern Methodist,0.45528455,2006
664,Southern Miss.,0.50704225,2006
671,La.-Lafayette,0.42975207,2006
674,Stanford,0.58518519,2006
688,Syracuse,0.54198473,2006
690,Temple,0.50735294,2006
694,Tennessee,0.59027778,2006
697,Texas A&M,0.53435115,2006
698,TCU,0.4453125,2006
700,Texas Tech,0.53076923,2006
703,Texas,0.56296296,2006
704,UTEP,0.3984375,2006
709,Toledo,0.425,2006
716,Troy,0.41353383,2006
718,Tulane,0.5,2006
719,Tulsa,0.51851852,2006
721,Air Force,0.51908397,2006
725,Army,0.49586777,2006
726,Navy,0.38931298,2006
731,Utah St.,0.53383459,2006
732,Utah,0.50381679,2006
736,Vanderbilt,0.52419355,2006
742,Virginia Tech,0.55223881,2006
746,Virginia,0.46212121,2006
749,Wake Forest,0.50704225,2006
754,Washington St.,0.52631579,2006
756,Washington,0.55882353,2006
768,West Virginia,0.58015267,2006
774,Western Mich.,0.42361111,2006
796,Wisconsin,0.48091603,2006
811,Wyoming,0.46923077,2006
5,Akron,0.39805825,2003
8,Alabama,0.66216216,2003
9,UAB,0.48461538,2003
28,Arizona St.,0.51181102,2003
29,Arizona,0.60431655,2003
30,Arkansas St.,0.41509434,2003
31,Arkansas,0.55479452,2003
37,Auburn,0.58273381,2003
47,Ball St.,0.54700855,2003
51,Baylor,0.51968504,2003
66,Boise St.,0.45323741,2003
67,Boston College,0.4965035,2003
71,Bowling Green,0.6015625,2003
77,Brigham Young,0.56923077,2003
86,Buffalo,0.53043478,2003
96,Fresno St.,0.51034483,2003
107,California,0.53846154,2003
110,UCLA,0.52054795,2003
128,UCF,0.40350877,2003
129,Central Mich.,0.48514851,2003
140,Cincinnati,0.50806452,2003
147,Clemson,0.56617647,2003
156,Colorado St.,0.56716418,2003
157,Colorado,0.57246377,2003
164,Connecticut,0.37606838,2003
193,Duke,0.54761905,2003
196,East Caro.,0.45864662,2003
204,Eastern Mich.,0.48,2003
234,Florida St.,0.57638889,2003
235,Florida,0.64963504,2003
255,Georgia Tech,0.52413793,2003
257,Georgia,0.57419355,2003
277,Hawaii,0.47586207,2003
288,Houston,0.46938776,2003
295,Idaho,0.43396226,2003
301,Illinois,0.54615385,2003
306,Indiana,0.51612903,2003
311,Iowa St.,0.6031746,2003
312,Iowa,0.55102041,2003
327,Kansas St.,0.59310345,2003
328,Kansas,0.46212121,2003
331,Kent St.,0.45689655,2003
334,Kentucky,0.41935484,2003
365,LSU,0.57432432,2003
366,Louisiana Tech,0.54074074,2003
367,Louisville,0.42857143,2003
388,Marshall,0.48695652,2003
392,Maryland,0.5648855,2003
404,Memphis,0.49230769,2003
414,Miami (Ohio),0.51369863,2003
415,Miami (Fla.),0.57534247,2003
416,Michigan St.,0.52054795,2003
418,Michigan,0.57432432,2003
419,Middle Tenn. St.,0.40869565,2003
428,Minnesota,0.45454545,2003
430,Mississippi St.,0.53676471,2003
433,Mississippi,0.50704225,2003
434,Missouri,0.48507463,2003
457,North Carolina,0.48507463,2003
463,Nebraska,0.50694444,2003
465,UNLV,0.515625,2003
466,Nevada,0.49593496,2003
472,New Mexico St.,0.43103448,2003
473,New Mexico,0.49612403,2003
490,North Carolina St.,0.58518519,2003
497,North Texas,0.42105263,2003
498,La.-Monroe,0.44761905,2003
503,Northern Ill.,0.35714286,2003
509,Northwestern,0.54794521,2003
513,Notre Dame,0.64492754,2003
518,Ohio St.,0.59183673,2003
519,Ohio,0.42982456,2003
521,Oklahoma St.,0.52941176,2003
522,Oklahoma,0.56875,2003
528,Oregon St.,0.57352941,2003
529,Oregon,0.54109589,2003
539,Penn St.,0.55072464,2003
545,Pittsburgh,0.5034965,2003
559,Purdue,0.51351351,2003
574,Rice,0.43076923,2003
587,Rutgers,0.49253731,2003
626,San Diego St.,0.49541284,2003
630,San Jose St.,0.44545455,2003
648,South Carolina,0.58823529,2003
651,South Fla.,0.45631068,2003
657,Southern California,0.54421769,2003
663,Southern Methodist,0.47328244,2003
664,Southern Miss.,0.53146853,2003
671,La.-Lafayette,0.46218487,2003
674,Stanford,0.52419355,2003
688,Syracuse,0.5,2003
690,Temple,0.50806452,2003
694,Tennessee,0.51388889,2003
697,Texas A&M,0.60740741,2003
698,TCU,0.44680851,2003
700,Texas Tech,0.52083333,2003
703,Texas,0.55479452,2003
704,UTEP,0.42975207,2003
709,Toledo,0.46017699,2003
716,Troy St.,0.54054054,2003
718,Tulane,0.49206349,2003
719,Tulsa,0.47328244,2003
721,Air Force,0.475,2003
725,Army,0.48201439,2003
726,Navy,0.37606838,2003
731,Utah St.,0.41803279,2003
732,Utah,0.5,2003
736,Vanderbilt,0.56,2003
742,Virginia Tech,0.52941176,2003
746,Virginia,0.52112676,2003
749,Wake Forest,0.54074074,2003
754,Washington St.,0.53146853,2003
756,Washington,0.52985075,2003
768,West Virginia,0.5,2003
774,Western Mich.,0.49557522,2003
796,Wisconsin,0.53741497,2003
811,Wyoming,0.52941176,2003
5,Akron,0.3963964,2004
8,Alabama,0.53508772,2004
9,UAB,0.45454545,2004
28,Arizona St.,0.62204724,2004
29,Arizona,0.63888889,2004
30,Arkansas St.,0.43243243,2004
31,Arkansas,0.61261261,2004
37,Auburn,0.61788618,2004
47,Ball St.,0.44545455,2004
51,Baylor,0.61682243,2004
66,Boise St.,0.52,2004
67,Boston College,0.44954128,2004
71,Bowling Green,0.47272727,2004
77,Brigham Young,0.57522124,2004
86,Buffalo,0.37614679,2004
96,Fresno St.,0.46017699,2004
107,California,0.5483871,2004
110,UCLA,0.5,2004
128,UCF,0.42342342,2004
129,Central Mich.,0.38,2004
140,Cincinnati,0.52380952,2004
147,Clemson,0.5045045,2004
156,Colorado St.,0.56730769,2004
