","Name","Team","Yds","Y.G","TD","RUSHING","Rush","Yds.1","Y.G.1","Avg","TD.1","Year","Position","Rec","Avg.1","Lng","PASSING","QBRAT","Att","Comp","Pct","Y.A","Int","SACKED","Sack","YdsL","RECEIVING","Receiving"
12988","Ike Whitaker","VT",17,5.7,0,NA,0,0,0,"5.7",0,2007,"WR",3,"N/A","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12989","Ike Whitaker","VT",0,0,0,NA,9,42,8.4,"N/A",0,2006,"WR",0,"4.7","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12990","Ikey Chuku","Temp",224,24.9,1,NA,0,0,0,"11.2",0,2003,"WR",20,"N/A","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12991","Ikey Chuku","Temp",464,42.2,3,NA,1,9,0.8,"15",0,2004,"WR",31,"9","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12992","Imani Davis","Akrn",114,12.7,0,NA,3,13,1.4,"8.1",0,2012,"WR",14,"4.3","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12993","Imhotep Durham","UVa",34,11.3,0,NA,0,0,0,"8.5",0,2004,"WR",4,"N/A","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12994","Iris Williams","Bayl",67,16.8,1,NA,0,0,0,"11.2",0,2003,"WR",6,"N/A","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12995","Irshad Stolden","UNLV",19,9.5,1,NA,0,0,0,"6.3",0,2010,"WR",3,"N/A","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12996","Isaac Anderson","Wis",49,12.3,0,NA,4,14,3.5,"9.8",0,2006,"WR",5,"3.5","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12997","Isaac Anderson","Wis",286,31.8,0,NA,3,21,2.3,"13.6",0,2008,"WR",21,"7","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12998","Isaac Anderson","Wis",480,48,2,NA,4,49,4.9,"16",1,2009,"WR",30,"12.3","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12999","Isaac Anderson","Wis",233,17.9,0,NA,4,-5,-0.4,"9.7",0,2010,"WR",24,"-1.3","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13000","Isaac Fruechte","Minn",256,25.6,2,NA,0,0,0,"13.5",0,2012,"WR",19,"N/A","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13001","Isaiah Anderson","OK St",23,23,0,NA,0,0,0,"23",0,2009,"WR",1,"N/A","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13002","Isaiah Anderson","OK St",216,30.9,0,NA,0,0,0,"18",0,2010,"WR",12,"N/A","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13003","Isaiah Anderson","OK St",407,50.9,4,NA,1,26,3.3,"18.5",0,2012,"WR",22,"26","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13004","Isaiah Anderson","OK St",315,28.6,4,NA,0,0,0,"11.3",0,2011,"WR",28,"N/A","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13005","Isaiah Battle","TX St",428,53.5,3,NA,11,68,8.5,"16.5",0,2012,"WR",26,"6.2","98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13006","Isaiah Battle","TX St",368,36.8,5,NA,1,8,0.8,"13.6",0,2011,"WR",27,"8","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13007","Isaiah Burse","Fres",190,19,2,NA,16,57,5.7,"14.6",1,2010,"WR",13,"3.6","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13008","Isaiah Burse","Fres",851,70.9,6,NA,7,39,3.3,"14.9",1,2012,"WR",57,"5.6","97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13009","Isaiah Burse","Fres",443,36.9,1,NA,0,0,0,"11.1",0,2011,"WR",40,"N/A","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13010","Isaiah Roundtree","Ind",68,9.7,0,NA,33,159,22.7,"11.3",1,2012,"WR",6,"4.8","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13011","Isaiah Sweeney","Hous",28,28,1,NA,0,0,0,"14",0,2011,"WR",2,"N/A","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13012","Isaiah Sweeney","Hous",93,93,1,NA,0,0,0,"31",0,2012,"WR",3,"N/A","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13013","Isaiah Sweeney","Hous",95,31.7,2,NA,0,0,0,"15.8",0,2010,"WR",6,"N/A","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13014","Isaiah Williams","Md",4,4,0,NA,0,0,0,"4",0,2005,"WR",1,"N/A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13015","Isaiah Williams","Md",124,15.5,1,NA,0,0,0,"12.4",0,2008,"WR",10,"N/A","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13016","Isaiah Williams","Md",379,37.9,3,NA,0,0,0,"13.5",0,2006,"WR",28,"N/A","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13017","Isaiah Williams","Md",395,39.5,1,NA,0,0,0,"15.8",0,2007,"WR",25,"N/A","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13018","Isiah Barton","WA St",165,18.3,0,NA,2,-4,-0.4,"8.7",0,2010,"WR",19,"-2","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13019","Isiah Barton","WA St",638,58,5,NA,4,8,0.7,"13",0,2011,"WR",49,"2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13020","Isiah Moore","Conn",147,18.4,1,NA,0,0,0,"9.8",0,2010,"WR",15,"N/A","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13021","Isiah Moore","Conn",566,51.5,0,NA,0,0,0,"13.2",0,2011,"WR",43,"N/A","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13022","Isiah Moore","Conn",286,23.8,1,NA,0,0,0,"11.9",0,2009,"WR",24,"N/A","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13023","Isiah Myers","WA St",76,19,0,NA,0,0,0,"10.9",0,2011,"WR",7,"N/A","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13024","Isiah Myers","WA St",438,48.7,4,NA,0,0,0,"10.4",0,2012,"WR",42,"N/A","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13025","Israel Troupe","Ga",20,20,0,NA,0,0,0,"20",0,2011,"WR",1,"N/A","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13026","Israel Troupe","Ga",28,14,0,NA,0,0,0,"9.3",0,2010,"WR",3,"N/A","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13027","Israel Troupe","Ga",39,13,0,NA,0,0,0,"9.8",0,2008,"WR",4,"N/A","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13028","Israel Troupe","Ga",90,30,1,NA,0,0,0,"22.5",0,2009,"WR",4,"N/A","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13029","Issac Blakeney","Duke",290,24.2,1,NA,0,0,0,"9.1",0,2012,"WR",32,"N/A","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13030","Ivan Delgado","N TX",305,43.6,2,NA,0,0,0,"11.7",0,2011,"WR",26,"N/A","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13031","Ivan Delgado","N TX",570,57,0,NA,0,0,0,"13.6",0,2012,"WR",42,"N/A","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13032","Ivan McCartney","W Va",4,2,0,NA,1,2,1,"4",0,2010,"WR",1,"2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13033","Ivan McCartney","W Va",112,22.4,0,NA,0,0,0,"12.4",0,2012,"WR",9,"N/A","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13034","Ivan McCartney","W Va",585,45,3,NA,0,0,0,"11.9",0,2011,"WR",49,"N/A","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13035","Iverick Harris","ECU",75,37.5,0,NA,0,0,0,"25",0,2003,"WR",3,"N/A","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13036","J Fields","Bayl",87,21.8,0,NA,0,0,0,"14.5",0,2005,"WR",6,"N/A","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13037","J Fields","Bayl",107,15.3,0,NA,0,0,0,"9.7",0,2004,"WR",11,"N/A","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13038","J Fields","Bayl",141,20.1,0,NA,3,18,2.6,"15.7",0,2003,"WR",9,"6","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13039","J.B. Garris","S Fla",129,12.9,0,NA,10,32,3.2,"14.3",0,2004,"WR",9,"3.2","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13040","J.D. McKissic","AR St",1022,78.6,5,NA,2,13,1,"9.9",0,2012,"WR",103,"6.5","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13041","J.D. Woods","W Va",67,22.3,0,NA,0,0,0,"9.6",0,2011,"WR",7,"N/A","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13042","J.D. Woods","W Va",205,25.6,1,NA,0,0,0,"11.4",0,2010,"WR",18,"N/A","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13043","J.D. Woods","W Va",637,49,4,NA,1,16,1.2,"10.4",0,2012,"WR",61,"16","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13044","J.E. Frederickson","Kent",9,9,0,NA,0,0,0,"9",0,2004,"WR",1,"N/A","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13045","J.J. Griffin","TX Tch",0,0,0,NA,2,4,2,"N/A",0,2008,"WR",0,"2","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13046","J.J. Harbin","Troy",24,24,0,NA,0,0,0,"24",0,2012,"WR",1,"N/A","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13047","J.J. Holliday","AZ St",14,14,0,NA,0,0,0,"14",0,2012,"WR",1,"N/A","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13048","J.J. McCoy","ULM",0,0,0,NA,0,0,0,"N/A",0,2005,"WR",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13049","J.J. McCoy","ULM",216,30.9,1,NA,6,28,4,"13.5",0,2006,"WR",16,"4.7","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13050","J.J. McCoy","ULM",147,18.4,0,NA,0,0,0,"13.4",0,2009,"WR",11,"N/A","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13051","J.J. McCoy","ULM",207,18.8,2,NA,3,2,0.2,"9",0,2008,"WR",23,"0.7","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13052","J.J. Moore","Mass",337,67.4,2,NA,1,-2,-0.4,"12.5",0,2005,"WR",27,"-2","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13053","J.J. Moore","Mass",389,43.2,4,NA,0,0,0,"12.2",0,2004,"WR",32,"N/A","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13054","J.J. Moore","Mass",1100,84.6,5,NA,3,15,1.2,"13.8",0,2007,"WR",80,"5","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13055","J.J. Moore","Mass",594,42.4,4,NA,4,37,2.6,"12.9",1,2006,"WR",46,"9.3","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13056","J.J. Stallworth","Fres",9,9,0,NA,0,0,0,"9",0,2011,"WR",1,"N/A","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13057","J.J. Stallworth","Fres",23,11.5,0,NA,0,0,0,"11.5",0,2010,"WR",2,"N/A","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13058","J.J. Worton","UCF",531,48.3,4,NA,1,0,0,"13",0,2011,"WR",41,"0","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13059","J.J. Worton","UCF",594,54,5,NA,1,15,1.4,"13.5",0,2012,"WR",44,"15","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13060","J.P. Waller","AFA",476,47.6,3,NA,1,2,0.2,"14.9",0,2004,"WR",32,"2","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13061","J.P. Waller","AFA",287,26.1,3,NA,1,-7,-0.6,"15.1",0,2003,"WR",19,"-7","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13062","J.R. Russell","Lou",968,80.7,7,NA,0,0,0,"13.3",0,2004,"WR",73,"N/A","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13063","J.R. Russell","Lou",1213,93.3,8,NA,0,0,0,"16.2",0,2003,"WR",75,"N/A","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13064","J.T. Thompson","Bayl",39,6.5,0,NA,0,0,0,"4.9",0,2003,"WR",8,"N/A","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13065","Ja-Mes Logan","Miss",274,34.3,0,NA,0,0,0,"13.7",0,2011,"WR",20,"N/A","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13066","Ja-Mes Logan","Miss",387,35.2,2,NA,0,0,0,"13.3",0,2010,"WR",29,"N/A","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13067","Ja-Mes Logan","Miss",490,40.8,1,NA,2,16,1.3,"11.4",2,2012,"WR",43,"8","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13068","Ja'Mel Branch","N TX",3,1,0,NA,2,3,1,"3",0,2005,"WR",1,"1.5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13069","Ja'Mel Branch","N TX",213,17.8,0,NA,17,27,2.3,"9.7",0,2003,"WR",22,"1.6","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13070","Jabari Arthur","Akrn",270,38.6,0,NA,7,17,2.4,"11.7",0,2004,"WR",23,"2.4","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13071","Jabari Arthur","Akrn",482,48.2,3,NA,1,-15,-1.5,"16.1",0,2005,"WR",30,"-15","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13072","Jabari Arthur","Akrn",730,60.8,4,NA,0,0,0,"16.2",0,2006,"WR",45,"N/A","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13073","Jabari Arthur","Akrn",1171,97.6,10,NA,4,3,0.3,"13.6",0,2007,"WR",86,"0.8","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13074","Jabari Carr","SJSU",476,47.6,4,NA,0,0,0,"14.4",0,2011,"WR",33,"N/A","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13075","Jabari Carr","SJSU",639,58.1,4,NA,0,0,0,"10.3",0,2012,"WR",62,"N/A","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13076","Jabril Soloman","ECU",410,45.6,1,NA,2,29,3.2,"24.1",0,2012,"WR",17,"14.5","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13077","Jacarri Jackson","LT",33,16.5,0,NA,0,0,0,"11",0,2012,"WR",3,"N/A","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13078","Jacarri Jackson","LT",113,22.6,0,NA,0,0,0,"11.3",0,2010,"WR",10,"N/A","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13079","Jacarri Jackson","LT",62,10.3,0,NA,0,0,0,"10.3",0,2011,"WR",6,"N/A","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13080","Jack Darlington","Nev",218,43.6,1,NA,0,0,0,"13.6",0,2006,"WR",16,"N/A","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13081","Jack Darlington","Nev",182,20.2,1,NA,0,0,0,"10.7",0,2005,"WR",17,"N/A","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13082","Jack O'Holleran","Neb",0,0,0,NA,0,0,0,"N/A",0,2003,"WR",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13083","Jack Tomlinson","Ball",49,12.3,1,NA,0,0,0,"9.8",0,2012,"WR",5,"N/A","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13084","Jack Tomlinson","Ball",484,69.1,6,NA,0,0,0,"16.7",0,2010,"WR",29,"N/A","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13085","Jack Tomlinson","Ball",394,35.8,2,NA,0,0,0,"9.2",0,2011,"WR",43,"N/A","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13086","Jack Whitver","IA St",355,32.3,2,NA,0,0,0,"16.1",0,2003,"WR",22,"N/A","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13087","Jack Wise","Duke",6,6,1,NA,0,0,0,"6",0,2012,"WR",1,"N/A","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13088","Jackie Chambers","S Fla",28,14,0,NA,0,0,0,"9.3",0,2006,"WR",3,"N/A","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13089","Jackie Chambers","S Fla",197,21.9,2,NA,10,30,3.3,"14.1",0,2004,"WR",14,"3","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13090","Jackie Chambers","S Fla",290,29,0,NA,1,0,0,"13.8",0,2005,"WR",21,"0","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13091","Jackie Williams","UAB",607,55.2,0,NA,13,81,7.4,"10.5",3,2011,"WR",58,"6.2","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13092","Jackie Williams","UAB",327,27.3,3,NA,12,38,3.2,"10.9",1,2010,"WR",30,"3.2","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13093","Jackie Williams","UAB",799,66.6,1,NA,0,0,0,"15.4",0,2012,"WR",52,"N/A","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13094","Jackson Bouza","Cal",18,18,0,NA,0,0,0,"18",0,2012,"WR",1,"N/A","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13095","Jackson Bouza","Cal",32,16,0,NA,0,0,0,"10.7",0,2011,"WR",3,"N/A","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13096","Jacob Brinlee","N Ill",3,1,0,NA,3,31,10.3,"1.5",1,2012,"WR",2,"10.3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13097","Jacob Carter","Tenn",126,21,1,NA,0,0,0,"15.8",0,2012,"WR",8,"N/A","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13098","Jacob Gonzales","UTEP",8,4,0,NA,1,8,4,"8",0,2005,"WR",1,"8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13099","Jacob Gonzales","UTEP",11,5.5,0,NA,0,0,0,"5.5",0,2004,"WR",2,"N/A","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13100","Jacob Gonzales","UTEP",49,9.8,2,NA,1,-10,-2,"12.3",0,2003,"WR",4,"-10","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13101","Jacob Hillyer","Iowa",15,15,0,NA,0,0,0,"15",0,2012,"WR",1,"N/A","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13102","Jacob Hodges","UVa",0,0,0,NA,0,0,0,"N/A",0,2010,"WR",0,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13103","Jacob Hodges","UVa",0,0,0,NA,1,6,6,"N/A",0,2012,"WR",0,"6","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13104","Jacob Hodges","UVa",0,0,0,NA,2,23,11.5,"N/A",0,2011,"WR",0,"11.5","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13105","Jacob Murphy","Army",163,40.8,0,NA,0,0,0,"13.6",0,2005,"WR",12,"N/A","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13106","Jacob Murphy","Army",247,41.2,1,NA,0,0,0,"14.5",0,2003,"WR",17,"N/A","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13107","Jacob Murphy","Army",357,51,2,NA,1,10,1.4,"13.7",0,2004,"WR",26,"10","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13108","Jacob Wark","Cal",5,5,0,NA,0,0,0,"5",0,2010,"WR",1,"N/A","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13109","Jacob Wark","Cal",74,14.8,0,NA,0,0,0,"10.6",0,2012,"WR",7,"N/A","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13110","Jacob Willis","Ill",313,44.7,3,NA,0,0,0,"19.6",0,2006,"WR",16,"N/A","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13111","Jacob Willis","Ill",330,27.5,3,NA,0,0,0,"15",0,2007,"WR",22,"N/A","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13112","Jacob Younger","FIU",97,16.2,0,NA,0,0,0,"10.8",0,2009,"WR",9,"N/A","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13113","Jacob Younger","FIU",151,16.8,0,NA,0,0,0,"9.4",0,2010,"WR",16,"N/A","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13114","Jacob Younger","FIU",286,31.8,1,NA,0,0,0,"13.6",0,2011,"WR",21,"N/A","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13115","Jacob Younger","FIU",404,44.9,3,NA,0,0,0,"16.2",0,2012,"WR",25,"N/A","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13116","Jacoby Ford","Clem",310,44.3,4,NA,14,172,24.6,"18.2",0,2007,"WR",17,"12.3","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13117","Jacoby Ford","Clem",187,15.6,2,NA,8,104,8.7,"12.5",0,2006,"WR",15,"13","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13118","Jacoby Ford","Clem",710,54.6,4,NA,18,96,7.4,"12.9",0,2008,"WR",55,"5.3","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13119","Jacoby Ford","Clem",779,55.6,6,NA,18,122,8.7,"13.9",2,2009,"WR",56,"6.8","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13120","Jacoby Franks","TX Tch",58,14.5,0,NA,0,0,0,"9.7",0,2008,"WR",6,"N/A","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13121","Jacoby Franks","TX Tch",254,42.3,0,NA,1,-2,-0.3,"10.2",0,2010,"WR",25,"-2","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13122","Jacoby Franks","TX Tch",223,27.9,1,NA,0,0,0,"7.7",0,2011,"WR",29,"N/A","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13123","Jacoby Franks","TX Tch",313,28.5,2,NA,0,0,0,"12",0,2009,"WR",26,"N/A","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13124","Jacory Stone","EMU",99,14.1,1,NA,0,0,0,"7.6",0,2006,"WR",13,"N/A","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13125","Jacory Stone","EMU",347,43.4,1,NA,0,0,0,"10.8",0,2009,"WR",32,"N/A","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13126","Jacory Stone","EMU",462,42,3,NA,0,0,0,"9.8",0,2007,"WR",47,"N/A","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13127","Jacory Stone","EMU",943,78.6,3,NA,0,0,0,"10.7",0,2008,"WR",88,"N/A","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13128","Jafar Williams","Md",201,25.1,3,NA,1,3,0.4,"14.4",0,2003,"WR",14,"3","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13129","Jafus Gaines","TX St",114,12.7,0,NA,0,0,0,"8.1",0,2012,"WR",14,"N/A","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13130","Jahbari McLennan","AR St",168,21,1,NA,1,1,0.1,"9.9",0,2009,"WR",17,"1","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13131","Jahbari McLennan","AR St",451,41,1,NA,4,78,7.1,"14.1",1,2008,"WR",32,"19.5","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13132","Jahkeen Gilmore","Ind",308,38.5,2,NA,1,8,1,"13.4",0,2004,"WR",23,"8","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13133","Jahkeen Gilmore","Ind",383,47.9,3,NA,0,0,0,"12.8",0,2005,"WR",30,"N/A","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13134","Jahkeen Gilmore","Ind",419,38.1,0,NA,0,0,0,"15",0,2006,"WR",28,"N/A","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13135","Jahlamb Sinclair","AR St",34,34,0,NA,0,0,0,"17",0,2005,"WR",2,"N/A","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13136","Jahmeel Hobson","NM St",69,13.8,0,NA,0,0,0,"7.7",0,2005,"WR",9,"N/A","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13137","Jahrie Level","Ida",538,48.9,2,NA,2,7,0.6,"11.7",0,2012,"WR",46,"3.5","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13138","Jaime Wilson","WMU",792,79.2,6,NA,1,2,0.2,"11.8",0,2012,"WR",67,"2","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
