Institution ID,Institution,Game Date,Uniform Number,Last Name,First Name,Rushing,,,,,Passing,,,,,,Total Off.,,Receiving,,,Pass Int,,,Fumble Ret,,,Punting,,Punt Ret,,,KO Ret,,,Total TD,Off xpts,,,,Def xpts,,,,FG,,Saf,Points
,,,,,,Rushes,Gain,Loss,Net,TD,Att,Cmp,Int,Yards,TD,Conv,Plays,Yards,No.,Yards,TD,No.,Yards,TD,No.,Yards,TD,No.,Yards,No.,Yards,TD,No.,Yards,TD,,Kicks Att,Kicks Made,R/P Att,R/P Made,Kicks Att,Kicks Made,Int/Fum Att,Int/Fum Made,Att,Made,,
721,Air Force,10/7/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/28/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,43,FIEBERKORN,,1,,2,-2,0,,,,,,,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,43,FIEBERKORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,2,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/9/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,5,145,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,12
721,Air Force,9/23/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,3,128,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,9/30/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,3,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,2,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,2,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,10,104,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,10/28/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,8,163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,8,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,5,82,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,11/18/2000,5,FLEMING,RYAN,,,,,,,,,,,,,,4,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,40,GIOVANETTI,BERT,2,30,0,30,1,,,,,,,2,30,1,9,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,9/9/2000,40,GIOVANETTI,BERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,40,GIOVANETTI,BERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,40,GIOVANETTI,BERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,40,GIOVANETTI,BERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,40,GIOVANETTI,BERT,3,47,0,47,1,,,,,,,3,47,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,10/21/2000,40,GIOVANETTI,BERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/28/2000,40,GIOVANETTI,BERT,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6
721,Air Force,11/4/2000,40,GIOVANETTI,BERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,40,GIOVANETTI,BERT,1,9,0,9,0,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,40,GIOVANETTI,BERT,3,13,0,13,0,,,,,,,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
