Name,Team,G,,Rush,Yds,Y/G,Avg,TD,,Rec,Yds,Y/G,Avg,Lng,TD
 Trovon Riley,WMU,9,,221,1010,112.2,4.6,6,,16,143,15.9,8.9,26,0
 Justin Forsett,Cal,12,,132,999,83.3,7.6,6,,7,68,5.7,9.7,22,0
 Ahmad Bradshaw,Mrsh,11,,214,997,90.6,4.7,9,,56,381,34.6,6.8,52,1
 Mike Hamilton,OK St,11,,193,961,87.4,5,1,,20,161,14.6,8.1,36,0
 Mike Bell,Ariz,11,,200,952,86.5,4.8,5,,18,197,17.9,10.9,51,0
 P.J. Daniels,GT,11,,198,930,84.5,4.7,3,,21,174,15.8,8.3,20,1
 Maurice Drew,UCLA,12,,186,914,76.2,4.9,13,,31,453,37.8,14.6,45,4
 Joseph Addai,LSU,13,,187,911,70.1,4.9,9,,20,180,13.8,9,43,1
 Robert Merrill,TCU,12,,187,911,75.9,4.9,10,,14,114,9.5,8.1,29,0
 Lance Ball,Md,11,,189,903,82.1,4.8,6,,18,153,13.9,8.5,24,0
 Quinton Smith,Rice,11,,140,902,82,6.4,5,,7,40,3.6,5.7,20,1
 Damien Rhodes,Syra,11,,219,900,81.8,4.1,7,,23,270,24.5,11.7,70,0
 Cory Ross,Neb,12,,225,882,73.5,3.9,5,,43,392,32.7,9.1,70,3
 Arian Foster,Tenn,10,,183,879,87.9,4.8,5,,14,148,14.8,10.6,39,0
 James Davis,Clem,11,,165,879,79.9,5.3,9,,19,152,13.8,8,22,0
 Jamaal Charles,Tex,13,,119,878,67.5,7.4,11,,14,157,12.1,11.2,36,2
 Taurean Henderson,TX Tch,12,,148,872,72.7,5.9,17,,67,528,44,7.9,39,5
 Wynel Seldon,Wyo,11,,187,871,79.2,4.7,11,,27,198,18,7.3,41,0
 Keegan Herring,AZ St,12,,158,870,72.5,5.5,6,,3,4,0.3,1.3,5,0
 Hugh Charles,Colo,13,,189,858,66,4.5,6,,28,231,17.8,8.3,51,1
 DeMyron Martin,SMU,10,,185,854,85.4,4.6,7,,8,53,5.3,6.6,22,2
 Lynell Hamilton,SDg St,11,,190,819,74.5,4.3,9,,26,144,13.1,5.5,17,0
 Javon Ringer,MI St,11,,122,817,74.3,6.7,5,,19,138,12.5,7.3,25,0
 L.V. Whitworth,BC,12,,189,807,67.3,4.3,5,,23,244,20.3,10.6,34,0
 Marcus Thomas,UTEP,11,,149,791,71.9,5.3,5,,32,440,40,13.8,75,3
 Uril Parrish,Tuls,12,,179,787,65.6,4.4,9,,25,246,20.5,9.8,46,1
 Jon Cornish,Kan,12,,134,780,65,5.8,9,,15,138,11.5,9.2,30,2
 Justine Buries,NM St,11,,187,779,70.8,4.2,5,,23,141,12.8,6.1,20,1
 Lee Marks,Bois,13,,133,759,58.4,5.7,6,,8,21,1.6,2.6,9,0
